PC1,PC2
19815.128017867923,1651.1247205644197
11338.93899189641,-1493.4690277670657
8926.352589202403,-3264.6841019408516
14652.465936615585,867.7952696327518
-896.142032021823,-1898.4781515893083
699.6993063445568,-3004.511711690618
14283.94438853575,92.96722414333048
-44372.702514446406,11635.45271973138
-42246.34214874218,6765.258443107414
5725.513088641762,-4391.181823049283
-14510.864808579689,6973.907024080786
-22723.273343226527,-10833.039296233903
19071.07615552207,1229.9497887323032
-744.7352536485525,3473.4057045970694
5449.6209116565515,-4390.499531941761
-39002.927564160396,6390.863366595113
12657.029818568526,96.34409421400701
19521.704558142126,1655.8586116465358
15201.820427309134,-470.5241854912692
16073.223936624467,77.90392169239
11134.355848771485,-971.3159237245288
7337.422760866936,-2165.8818597052164
3133.829680072913,534.5722783895249
-61458.574209201135,-27355.23584007544
5547.304480538379,-3183.611778764873
19930.84786124661,1790.762942022573
20651.14287030209,1998.2361204171268
18993.675822837704,1195.3074271296741
18532.06641648051,1480.0241771507563
-40772.91334462261,8845.91406835008
14854.391096061976,755.975581636846
20413.38800676804,2069.3410653046935
19346.308348188344,1681.32487426628
-1594.993521013196,-1595.820117382973
11306.796152481158,-877.1346864347888
9150.291558774832,-589.9772330866357
19812.097766668678,1945.475967716019
20693.03865994455,2179.5396056388054
15711.053195947581,781.314329477891
6284.640725848824,-615.340532555181
18572.07195972379,1393.982920743232
-2515.8624559105997,-1640.604264917955
-24428.431171491568,1452.8334272826326
-12802.705440490294,-2694.7378870887796
-50452.38145924895,14282.630140981295
9554.474092751952,-1308.75496466087
11368.925287323495,-680.8135804640718
12413.317179470787,-2528.2265169339034
14005.881443894838,-486.33024587793767
-14872.412063102633,-8366.203249449984
20001.95609784816,1730.0221499421546
-5161.022576535101,-2627.170810491582
13516.175195607277,-41.05021084166864
-39294.563120012695,8592.02036793674
-33340.32297215499,6514.270077066781
4162.688149392621,-1864.1954585483963
19772.59140163962,1623.3026653062004
14440.727846481903,-116.60782758138824
-36708.231061581275,4982.187771717922
18241.334986286336,1205.2318050704407
-17970.40204881282,2190.4492587442933
8162.924202667578,17.897863473837127
14544.58243666171,-197.32645692799068
20055.11087174503,2008.654301381068
19979.15113846038,1797.8943280097317
15032.587202689881,552.8713896446395
19820.292461905887,1805.9607449752205
-3839.969495635766,-3442.535857720316
-35614.13437308904,6153.895351952422
17232.742059235115,306.9817440074386
13102.246499162682,-1175.3148939804944
4234.101714560583,-4851.3754681626015
9044.234647497073,-3098.228094287229
-45299.668811043746,6356.09348724044
-21166.028106362704,4261.187767114164
-29534.456628256514,3506.7171506484815
12336.286630016637,261.0323919357344
-35219.82377034295,10104.190386243536
11954.864806507387,-1475.4780254708678
527.1394266338186,-4860.097325308044
18898.451033601912,1354.3678300715535
19084.259018228295,2249.640996209062
-59732.23732970539,-21320.3608591806
18732.871947685733,1078.1485828112534
17689.50084557139,449.7315808127565
303.464475893907,-2003.0355365450937
3433.0148788942306,-2402.473288687663
18831.700494677745,1570.5887392438501
20631.69579199233,2111.952718547336
-8458.294572801207,-9183.663376258002
-2212.2682551529397,-3417.656990862883
-117402.80249666848,15674.306656440629
9961.502270117995,-2176.1958361042653
20071.147942617426,1700.4685744653275
20301.205903231184,1981.2025453891981
-199.6471015688073,-5547.047989183183
8857.079488204996,302.45581575716017
19519.734972124297,1585.1908723861504
-13695.734033646035,-1750.0528368179764
18127.94502491677,946.685446492712
4314.448842645219,-2752.7266343269957
16973.1126134102,2139.346844003868
17403.733329231076,853.8822996466038
13941.461725802566,-1015.0808365125827
6601.981890709294,-2406.906193569785
14740.797717077981,-11.869072034982098
20410.079867711254,2029.0638909701454
17982.875734534115,517.8888398222763
11651.685532200316,315.7053036327494
19512.139087178748,1418.418619760892
-46253.34821888184,7656.299908133349
-25257.644732166562,4659.4690401968755
20534.452701952185,2048.925081592768
16021.84855352269,510.8960595477056
-84221.60299920262,23369.364658287832
-24813.936793957924,-14735.47917993876
17540.192458848927,171.0142562476548
4622.861337435126,-2351.150867118704
13848.28104406977,-305.06715462209667
10678.320886388625,-838.1982904788109
15832.097714845104,56.4030711940811
-3133.1189057988768,-3462.416182721164
-13857.905543245399,23.10977346518786
-117767.79673307594,-32417.612314539267
2775.651400383446,-3890.6762976457867
-2772.7568626809966,-5736.201433344018
19997.189902334656,1836.9736623120457
15070.722476324676,1153.0886808375233
-24886.598769861215,-14804.151846148587
19093.807724273123,1584.4201805947866
8419.126824259596,-2436.8958224645235
-879.2727688147861,-3808.9442249932554
20204.39734601314,1807.1302326407515
-63043.3440183838,-13304.440107408265
-8351.698724883427,-2890.9355422767026
-15566.261064568183,-353.2077122310328
19185.256417529225,2069.8909780346444
7643.38385081901,-597.0146919948899
-15908.74384090605,-2465.702238845059
-23342.279593071387,2341.850568013671
13213.82450799132,-1482.6469112467105
9876.234201901378,68.64170542531349
17899.27893125971,1115.8497856023046
5343.857428589319,-1366.9619475662164
-45600.220748827836,10750.41950474752
-70212.59696077651,18447.22648633048
19324.64000911007,1442.0929228256605
19363.92269857321,1429.678239274189
8064.394857566907,-3226.2748233993066
17547.691695120277,3700.654628734905
20150.457553976485,1878.6209742685678
15307.27270747116,1514.2768485159997
10963.010994936429,-1779.9975326944661
933.6604354026131,-2232.9757746396344
11091.269041457166,-1245.9964977640168
19837.141030529412,1729.720426034987
13641.695897737227,-858.0815278840593
-44537.33847465942,-11774.479513942355
-31663.862009695116,5759.631014770961
-47782.50297699352,3596.616071370719
763.4370964120209,-742.6747648719949
17335.658854202957,445.5348172760058
17180.96767872616,2487.153834926042
