Component,ExplainedVarianceRatio,ExplainedVariance,CumulativeVariance
PC1,0.45951739786095896,4.1605701746085595,0.45951739786095896
PC2,0.17181625651618207,1.5556616478543464,0.6313336543771411
PC3,0.13004258896953078,1.1774338025373774,0.7613762433466719
PC4,0.11053161805571927,1.000777240588831,0.8719078614023912
PC5,0.07340211424156041,0.664598660873887,0.9453099756439516
PC6,0.024842346764277424,0.2249279951006563,0.970152322408229
